State,Renewability Index_2018,Rank_2018,Renewability Index_2019,Rank_2019,Renewability Index_2020,Rank_2020,Renewability Index_2021,Rank_2021
WA,82.05741776788513,1.0,75.42593104979917,4.0,83.55585141169232,1.0,75.91266896065746,2.0
OR,80.91276779292734,2.0,76.26246022854957,3.0,80.34967390260866,2.0,72.66218185247382,3.0
ME,76.04254314411348,3.0,82.04725809853291,1.0,75.78168130515797,4.0,66.32100894507875,5.0
VT,73.13582706890813,4.0,75.06363662167338,5.0,72.6497491203936,5.0,70.08518952929903,4.0
SD,72.69335406522849,5.0,78.19524468710573,2.0,78.73555097561056,3.0,81.7780147963833,1.0
ID,71.69260243792978,6.0,70.21971037252858,6.0,66.2138735277743,6.0,58.980061053880675,7.0
MT,51.685516937601854,7.0,50.188054358594236,8.0,56.70895437221823,8.0,50.693224889367805,8.0
DC,51.20407261321671,8.0,43.29084556796121,11.0,42.833959854995484,13.0,43.02071973602438,11.0
IA,50.309083861889796,9.0,57.12394706004499,7.0,64.72548622629081,7.0,62.4536012690648,6.0
CA,46.09563173576919,10.0,49.85375349153391,9.0,47.962044452359336,9.0,46.340690058591406,10.0
KS,42.2998558157409,11.0,45.86362261840219,10.0,46.763210991054294,10.0,46.45304182204772,9.0
ND,40.806784787586594,12.0,42.5373797417368,13.0,43.9522997851249,11.0,42.74515593622012,14.0
NY,39.527971435140245,13.0,40.86772361574602,15.0,40.912316067914986,16.0,39.757807525945964,18.0
OK,39.23076165379621,14.0,42.60723542561836,12.0,42.16882880105314,14.0,43.011552871394976,12.0
MN,39.213490093234455,15.0,40.53326047196282,16.0,41.42082620039149,15.0,40.207839289320646,16.0
NE,39.07124554596982,16.0,42.36804552119161,14.0,43.79388467061808,12.0,42.80457714337782,13.0
NH,38.84388532378742,17.0,39.35398262250304,18.0,37.343460819752224,19.0,35.45771974856795,21.0
NV,37.66144273657255,18.0,39.53155565833549,17.0,40.144248539608164,18.0,39.846397330072534,17.0
CO,36.42024778243725,19.0,37.85668862499613,19.0,40.29973354913561,17.0,40.354353076207005,15.0
MA,33.95247920124164,20.0,35.120619853020486,20.0,36.46080921290371,20.0,36.1358183372958,20.0
NM,33.851611809718825,21.0,34.89665164470968,21.0,35.76796629296666,22.0,39.11378162674739,19.0
HI,33.47236991889438,22.0,33.20480497134353,22.0,36.23771499084243,21.0,34.7268798016955,22.0
AK,32.84313243124848,23.0,32.61427678460822,23.0,32.9900050198649,24.0,31.820158337393984,26.0
MD,32.62253161218383,24.0,32.464601589000765,24.0,31.912389693577246,27.0,31.908149735582512,25.0
WI,31.255783564644588,25.0,32.2571427909757,25.0,31.45724783163753,29.0,29.938087164687047,32.0
NC,30.901719740160985,26.0,31.81869588976773,26.0,33.19883673417216,23.0,31.43412774878297,27.0
VA,30.704931640700526,27.0,30.60101215545636,30.0,30.693564224805787,31.0,31.132673097603515,29.0
GA,30.322883083647852,28.0,31.244975506149878,27.0,32.53340495198254,25.0,31.422843862077343,28.0
AZ,30.284041150723954,29.0,30.15140349772791,33.0,30.651305650673375,32.0,30.765414989440774,30.0
AL,30.253386573167163,30.0,30.95928184475204,29.0,31.397231556400172,30.0,29.264799541702388,35.0
TN,30.232645755902666,31.0,30.331912258062214,31.0,31.8028727378405,28.0,29.530921858005843,34.0
CT,30.19189596150394,32.0,30.32806670759222,32.0,29.996201368607863,35.0,29.701448671180415,33.0
TX,30.000636118751913,33.0,30.971084599855963,28.0,32.010300159816,26.0,32.235160510858655,24.0
IL,29.0022294767206,34.0,29.773561065370373,34.0,30.41159848192829,33.0,30.651898769528824,31.0
MI,28.972851241991034,35.0,29.39927530314981,35.0,29.614385516330284,37.0,29.006932935625333,36.0
NJ,28.577268746891548,36.0,28.96741383655184,37.0,29.261651507695355,38.0,28.83594127064687,38.0
UT,28.025772705691,37.0,27.988231281490805,41.0,28.459263379810505,41.0,27.915610959568593,40.0
SC,27.980175393575706,38.0,28.461294678129754,39.0,29.038353799504463,40.0,27.719783549740228,42.0
RI,27.49305029800936,39.0,28.891702208280808,38.0,29.67786090832243,36.0,28.920315736234926,37.0
AR,27.393222773437437,40.0,29.011688474370473,36.0,29.06156631779689,39.0,27.152134353248144,44.0
WY,27.310470649691858,41.0,28.162035615009223,40.0,30.136447930450217,34.0,32.48521181096856,23.0
FL,27.23285306037856,42.0,27.704342236895755,42.0,28.06127701054664,42.0,27.878272631455786,41.0
PA,27.049485077631854,43.0,26.739532287163094,45.0,26.73235840763027,45.0,25.944456469953753,45.0
IN,26.059859291515206,44.0,26.743054705388836,44.0,27.283877829416507,43.0,27.392130364990173,43.0
MO,25.83745839344295,45.0,27.279004472547495,43.0,27.226979993984337,44.0,28.172649475760533,39.0
DE,25.681192974061346,46.0,26.10267032826549,46.0,25.840827367258377,47.0,25.629231555059235,46.0
KY,25.03784047754987,47.0,25.32739356736566,47.0,25.911833319083875,46.0,24.812033950351108,47.0
OH,24.842316122838852,48.0,25.166185114265915,48.0,25.10727323930295,48.0,24.805170453687573,48.0
MS,23.899420718412504,49.0,23.537789327559995,49.0,23.31341347034315,50.0,22.74954039242099,49.0
LA,23.552984960760583,50.0,23.40829013647351,50.0,23.018025464848847,51.0,22.35415886988878,51.0
WV,23.181457888910394,51.0,23.06108785157107,51.0,23.564989664449644,49.0,22.36124474552544,50.0
