geotype,geoid,geoname,varname,x2021,State,Cluster,area_type
county,22025,"Catahoula Parish, LA",co2limits,52.31,LA,1.0,rural
county,22071,"Orleans Parish, LA",co2limits,75.54,LA,1.0,urban
county,28049,"Hinds County, MS",co2limits,69.18,MS,1.0,urban
county,28055,"Issaquena County, MS",co2limits,59.33,MS,1.0,rural
county,41051,"Multnomah County, OR",co2limits,76.12,OR,2.0,urban
county,41069,"Wheeler County, OR",co2limits,59.35,OR,2.0,rural
county,42053,"Forest County, PA",co2limits,57.19,PA,1.0,rural
county,42101,"Philadelphia County, PA",co2limits,79.26,PA,1.0,urban
county,46099,"Minnehaha County, SD",co2limits,64.73,SD,2.0,urban
county,46137,"Ziebach County, SD",co2limits,72.7,SD,2.0,rural
county,53023,"Garfield County, WA",co2limits,56.58,WA,2.0,rural
county,53033,"King County, WA",co2limits,75.75,WA,2.0,urban
county,22025,"Catahoula Parish, LA",drilloffshore,69.1,LA,1.0,rural
county,22071,"Orleans Parish, LA",drilloffshore,48.7,LA,1.0,urban
county,28049,"Hinds County, MS",drilloffshore,55.69,MS,1.0,urban
county,28055,"Issaquena County, MS",drilloffshore,64.51,MS,1.0,rural
county,41051,"Multnomah County, OR",drilloffshore,27.99,OR,2.0,urban
county,41069,"Wheeler County, OR",drilloffshore,47.34,OR,2.0,rural
county,42053,"Forest County, PA",drilloffshore,57.65,PA,1.0,rural
county,42101,"Philadelphia County, PA",drilloffshore,44.94,PA,1.0,urban
county,46099,"Minnehaha County, SD",drilloffshore,53.26,SD,2.0,urban
county,46137,"Ziebach County, SD",drilloffshore,39.48,SD,2.0,rural
county,53023,"Garfield County, WA",drilloffshore,50.6,WA,2.0,rural
county,53033,"King County, WA",drilloffshore,32.96,WA,2.0,urban
