State,2018,2019,2020,2021
AK,4.315659892298422,4.057598372010684,4.154670199555025,3.777823280928871
AL,14.481993559390984,14.55539602017459,15.78643553514044,14.36855468583403
AR,11.042253421458597,12.200342228695156,12.174993042743324,10.89511956917102
AZ,10.898013344729124,10.376131035134527,11.502065434680263,12.462193055660926
CA,20.774739780536542,23.624389733767057,24.712291382220208,24.971704058612232
CO,12.620010327066876,13.152534408660143,16.084052197176447,17.037742053256643
CT,6.3305412988260175,6.316845481494314,6.458824081719444,6.667052849060612
DC,5.149292722100742,6.078185116520144,6.955561689207839,7.322125553302371
DE,3.600507252546345,3.956416442466648,3.850372970601141,3.958546197635382
FL,7.892243638904425,8.04446937469374,8.800785138060403,9.218446541182262
GA,12.355021118546308,13.056063065806988,15.266969705987382,14.7477977060223
HI,11.276514808441265,10.704766004771386,15.628942375507854,14.895449685160983
IA,39.00923998702588,43.78731979328758,54.872848966290654,56.56495856721288
ID,60.20138847127843,53.794461569337,51.28789035470992,44.62640048204416
IL,6.753046882296173,7.270352160040409,8.137883351074764,8.927303041714293
IN,7.367764947850993,7.600763535541022,8.309961694202375,9.089163547041553
KS,22.529104744725554,24.732011432248,27.71563023422753,29.468732794544096
KY,6.432018834608594,6.641271035655779,7.377032381972898,6.829926458432216
LA,4.113878348620805,3.822802928294573,3.691489218014581,3.6419783035893625
MA,9.402312088181969,9.591252087390476,11.142324191052294,11.384329629919671
MD,8.427576679672185,7.832875385137375,7.427721937473651,7.680294976596012
ME,70.30625832223701,71.83559301558391,67.26273353094422,59.70668699825089
MI,9.045878759659958,8.964119990720214,9.754535628459632,9.660164890408204
MN,19.125221367163604,19.361434719336337,21.099504979668808,21.00794217918612
MO,6.397770907427784,7.450068137688421,7.775479516007231,9.255426716793195
MS,6.700802391611986,6.18968485876494,6.239487922854401,5.996042704007306
MT,35.59131122709863,31.350970298513754,39.42641208346724,34.85110664504331
NC,11.89650183459126,12.345596563468838,14.432563380669972,13.129472068689518
ND,22.444467968978778,22.906409431223235,26.10161432275823,25.68900840671263
NE,25.112779774255888,27.019648484816354,29.008870387662967,30.33208087364296
NH,19.55973114115089,19.146722803055177,17.352784732503736,16.368400205193474
NJ,4.13143859046825,4.414133078368857,4.874553961593619,4.8933463439546205
NM,14.090412146478506,14.596775202157833,15.935803754705352,20.37235426117702
NV,17.92225104757304,18.965514625906582,21.503279955182222,22.356374812895474
NY,14.904630218360197,15.536525450478267,16.85182532558724,16.329975727653522
OH,4.905295708121215,5.167868540285194,5.109874106067351,5.365144041723886
OK,20.85031856556096,23.26298143082457,24.19873049013477,26.30062917320637
OR,80.03892885131218,67.09447007383675,78.75389895506339,71.38925261565451
PA,5.994909067028714,5.516865398785617,5.577859964490425,5.343409937914939
RI,5.361250620453344,6.751729017826573,8.22568355394893,7.989542081587143
SC,10.189041163482058,10.331533639616612,11.458472594408308,10.775356723691528
SD,66.33456195304407,69.0817746615679,73.54302884925394,86.16966365219581
TN,11.477170095912053,11.113322017104291,13.123101893865766,11.52885098366304
TX,7.806214056096664,8.195407011989955,9.41314752555407,10.00241267848232
UT,7.322137740204254,7.077345639097656,7.784577077551799,7.965798900913406
VA,9.2286437067594,8.565428155461186,9.074814951276624,10.195405382401772
VT,49.17555555555556,47.70894188429176,47.42640053353659,46.71942813377585
WA,75.03039528001358,59.24843296631788,77.97204307711297,69.65941255094151
WI,12.858991206030945,13.305628711728538,12.925334817015653,12.04564939581682
WV,4.869697217601556,4.643314108081989,4.879639951264571,4.361641600377873
WY,6.9480728965696095,7.739586383403281,9.83127577930757,13.419651836056143
